car_name,fuel_type,transmission_type,reviews_count,engine_displacement,no_cylinder,seating_capacity,fuel_tank_capacity,price,horse_power
Maruti Alto K10,Petrol,Automatic,51,998,3,5,27,399000,65.71
Maruti Brezza,Petrol,Automatic,86,1462,4,5,48,799000,101.65
Mahindra Thar,Diesel,Automatic,242,2184,4,4,57,1353000,130
Mahindra XUV700,Diesel,Automatic,313,2198,4,7,60,1318000,182.38
Mahindra Scorpio-N,Diesel,Automatic,107,2198,4,7,57,1199000,172.45
Toyota Fortuner,Diesel,Automatic,99,2755,4,7,80,3240000,201.15
Hyundai Creta,Diesel,Automatic,731,1493,4,5,50,1044000,113.45
Tata Punch,Petrol,Automatic,381,1199,3,5,37,593000,84.48
Mahindra Bolero,Diesel,Manual,107,1498,3,7,60,933000,74.96
Maruti Swift,Petrol,Automatic,205,1197,4,5,37,592000,88.5
Tata Nexon,Diesel,Automatic,568,1497,4,5,44,760000,108.49
Hyundai Venue,Petrol,Automatic,36,998,3,5,45,753000,118.41
Kia Seltos,Diesel,Automatic,2171,1493,4,5,50,1049000,113.43
Hyundai Tucson,Diesel,Automatic,8,1997,4,5,54,2770000,183.72
Tata Harrier,Diesel,Automatic,2392,1956,4,5,50,1470000,167.67
Maruti Baleno,Petrol,Automatic,137,1197,4,5,37,649000,88.5
Toyota Innova Crysta,Diesel,Automatic,91,2393,4,8,55,1786000,148
Maruti Ertiga,Petrol,Automatic,110,1462,4,7,NaN,835000,101.65
Kia Sonet,Diesel,Automatic,523,1493,4,5,45,749000,113.43
Maruti Dzire,Petrol,Automatic,245,1197,4,5,37,624000,88.5
Honda City 4th Generation,Petrol,Manual,1067,1497,4,5,40,950000,117.6
Land Rover Range Rover,Petrol,Automatic,17,4367,8,7,90,23900000,345.98
Tata Tiago,CNG,Manual,435,1199,3,5,60,540000,72
Hyundai i20,Petrol,Automatic,432,998,3,5,37,703000,118.36
Mahindra XUV300,Diesel,Automatic,2245,1497,4,5,42,NaN,115
MG Hector,Diesel,Manual,200,1956,4,5,60,1415000,167.68
Tata Altroz,Diesel,Manual,1025,1497,4,5,37,630000,88.77
Mahindra Scorpio Classic,Diesel,Manual,14,2184,4,7,60,1199000,130.07
Hyundai Verna,Diesel,Automatic,234,1493,4,5,45,941000,113.45
Citroen C3,Petrol,Manual,57,1199,3,5,30,571000,108.62
Honda City,Diesel,Manual,162,1498,4,5,40,1157000,97.89
Maruti Celerio,Petrol,Automatic,89,998,3,5,32,525000,65.71
Nissan Magnite,Petrol,Automatic,278,999,3,5,40,597000,98.63
Renault KWID,Petrol,Automatic,545,999,3,5,28,464000,67.06
Land Rover Defender,Petrol,Automatic,13,4997,4,7,89,8072000,296.36
Maruti Alto 800,CNG,Manual,437,796,3,5,60,339000,40.36
Hyundai Kona Electric,Electric,Electric,40,0,0,5,0,2384000,134.1
Tata Tigor,CNG,Manual,136,1199,3,5,60,600000,72.4
Renault Kiger,Petrol,Automatic,228,999,3,5,40,NaN,98.63
Maruti S-Presso,Petrol,Automatic,301,998,3,5,27,425000,65.71
MG Astor,Petrol,Automatic,101,1349,3,5,45,1022000,138.08
Lamborghini Urus,Petrol,Automatic,33,3996,8,5,75,31500000,641
Honda Amaze,Diesel,Automatic,85,1498,4,5,35,663000,79.12
Renault Triber,Petrol,Automatic,774,999,3,7,40,592000,71
Hyundai Alcazar,Diesel,Automatic,207,1493,4,7,50,1589000,113.42
Hyundai Aura,Petrol,Manual,261,998,3,5,37,609000,98.63
Volkswagen Virtus,Petrol,Automatic,69,1498,4,5,45,1122000,147.51
Skoda Slavia,Petrol,Automatic,52,1498,4,5,45,1099000,147.52
Maruti Ignis,Petrol,Automatic,461,1197,4,5,32,535000,81.8
Mercedes-Benz GLA,Diesel,Automatic,12,1950,4,5,0,4490000,187.74
Volvo XC90,Petrol,Automatic,35,1969,4,7,68,9390000,400
Skoda Kushaq,Petrol,Automatic,172,1498,4,5,50,1129000,147.51
